"Facebook connection failed.","Соединение с Facebook не удалось."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Мы успешно связались с Вашей учетной записью Facebook. Теперь Вы можете авторизоваться под учетной записью Facebook в любое время."
"Service temporarily unavailable.","Сервис временно не доступен."
"Email address is required.","Необходим e-mail адрес."
"Thank you for registering with %s","Спасибо что авторизовались в %s"
"You will receive welcome email with registration info in a moment.","Вы получите приветственное сообщение по электронной почте с регистрационной информацией через несколько минут."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Учетная запись Facebook не предоставляет всей нужной информации. Пожалуйста зарегистрируйтесь и свяжитесь с учетной записью Facebook для быстрой авторизации."
"Connect with Facebook","Войти через Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Пользователи Facebook"
"Use your Facebook account to login or register within our store. You're just one click away.","Используйте учетную запись Facebook, чтобы авторизоваться или зарегистрироваться на нашем сайте."
"Facebook Connect Options","Опции Facebook Connect"
"Enabled","Включено"
"Application Api Key","Api ключ программы"
"Application Secret","Секретный вопрос"
"Locale","Язык"
