"Facebook connection failed.","Prisijungimas prie Facebook nepavyko."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Jūsų Facebook sąskaita buvo sėkmingai prijungta. Dabar galite bet kada prisijungti su Facebook Connect."
"Service temporarily unavailable.","Paslauga laikinai neprieinama."
"Email address is required.","Elektroninio pašto adresas yra būtinas."
"Thank you for registering with %s","%s Jums dėkoja už registraciją."
"You will receive welcome email with registration info in a moment.","Netrukus gausite elektroninį laišką su registracijos duomenimis."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Facebook profilis negali suteikti reikalingos informacijos, prašome pirma užsiregistruoti, o tada prisijungti su Facebook sąskaita."
"Connect with Facebook","Prisijunk su Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Facebook Users"
"Use your Facebook account to login or register within our store. You're just one click away.","Prisijungimui arba registracijai mūsų parduotuvėje naudokite savo Facebook sąskaitą. Tik vienas paspaudimas!"
"Facebook Connect Options","Facebook Connect Nustatymai"
"Enabled","Įjungta"
"Application Api Key","Programos Api Key"
"Application Secret","Programos Secret"
"Locale","Lokalė"
