"Facebook connection failed.","Facebook'a bağlanılamadı."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Facebook hesabınıza başarıyla bağlanıldı. Sitemize atrık Facebook Connect kullanarak kolaylıkla giriş yapabilirsiniz."
"Service temporarily unavailable.","Servis geçici olarak hizmet dışıdır."
"Email address is required.","Email adresi gereklidir."
"Thank you for registering with %s","Kaydolduğunuz için teşekkürler %s"
"You will receive welcome email with registration info in a moment.","Bir dakika içerisinde kayıt bilgilerinizin olduğu bir hoşgeldin mesajı alacaksınız."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Facebook profilinizde tüm gerekli alanlar bulunmaz, lütfen bu alanları ekleyiniz ve sonra Facebook ile hızlı giriş yapın."
"Connect with Facebook","Facebook Hesabı ile Giriş"
"Facebook Connect","Facebook Connect"
"Facebook Users","Facebook Kullanıcıları"
"Use your Facebook account to login or register within our store. You're just one click away.","Siteye giriş için Facebook hesabınızı kullanabilirsiniz.Sadece bir tık uzaklığında."
"Facebook Connect Options","Facebook Connect Seçenekleri"
"Enabled","Aktif"
"Application Api Key","Application Api Key"
"Application Secret","Application Secret"
"Locale","Lokal"
