"Facebook connection failed.","La conexión con Facebook ha fallado."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Tu cuenta de Facebook ha sido vinculada correctamente. Ahora puedes acceder rápidamente a través de Facebook Connect."
"Service temporarily unavailable.","Servicio temporalmente no disponible."
"Email address is required.","Se requiere una dirección de correo."
"Thank you for registering with %s","Gracias por registrarte en %s"
"You will receive welcome email with registration info in a moment.","En breve recibirás un email de bienvenida con tu información de registro."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Tu perfil de Facebook no puede proporcionar toda la información requerida. Por favor regístrate y luego podrás conectar rápidamente a través  Facebook."
"Connect with Facebook","Conectar con Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Usuarios de Facebook"
"Use your Facebook account to login or register within our store. You're just one click away.","Usa tu cuenta de Facebook para acceder o registrarte en nuestra página. Sólo te costará un click."
"Facebook Connect Options","Opciones de conexión con Facebook"
"Enabled","Activado"
"Application Api Key","Clave Api de la aplicación"
"Application Secret","Clave secreta de la aplicación"
"Locale","Código de la localización"
