"Facebook connection failed.","Facebook Verbindung fehlgeschlagen."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Dein Facebook Konto wurde erfolgreich verbunden. Du kannst dich ab sofort mit Facebook Connect anmelden."
"Service temporarily unavailable.","Service vorübergehend nicht verfügbar."
"Email address is required.","E-Mail Adresse ist erforderlich."
"Thank you for registering with %s","Danke für die Registrierung mit %s"
"You will receive welcome email with registration info in a moment.","Du wirst jeden Moment eine Willkommens-E-Mail mit den Registrierungs Infos bekommen."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Das Facebook Profil kann nicht alle benötigten Daten zur Verfügung stellen. Bitte registriere dich und verbinde dann mit Facebook für einen schnellen Login."
"Connect with Facebook","Verbinde mit Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Facebook Benutzer"
"Use your Facebook account to login or register within our store. You're just one click away.","Benutze dein Facebook Konto, um dich in unserem Shop einzuloggen oder zu registrieren. Du bist nur ein Klick entfernt."
"Facebook Connect Options","Facebook Connect Optionen"
"Enabled","Aktiv"
"Application Api Key","Application Api Key"
"Application Secret","Application Secret"
"Locale","Sprache"
