"Facebook connection failed.","Tilkoblingen til Facebook mislyktes."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Din Facebook konto er nå tilkoblet din brukerkonto. Du kan nå gjennomføre en handel via din Facebook Connect konto når som helst."
"Service temporarily unavailable.","Tjenesten er midlertidlig utilgjengelig."
"Email address is required.","E-post adresse er påkrevd."
"Thank you for registering with %s","Takk for at du registrerte deg hos %s"
"You will receive welcome email with registration info in a moment.","Du vil motta en bekreftelses e-post med registeringsinfo om et øyeblikk."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Din Facebookprofil inneholder ikke all nødvendig informasjon. Vennligst registrer deg som ny kunde, og forsøk tilkobling av Facebook kontoen på nytt for en rask og enkel logg-inn i butikken."
"Connect with Facebook","Logg inn via Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Facebook Brukere"
"Use your Facebook account to login or register within our store. You're just one click away.","Bruk din Facebook konto til å logge inn eller registrere deg i vår butikk! Du er bare ett klikk unna!"
"Facebook Connect Options","Facebook Connect Innstillinger"
"Enabled","Aktiv"
"Application Api Key","Facebook API Nøkkel"
"Application Secret","Din hemmelige nøkkel"
"Locale","Lokal"
